a13-p23	70:5a:b6:f0:a3:8b
a14-p01	78:e4:00:d2:9b:48
a14-p02	70:5a:b6:f0:88:6e
a14-p03	78:e4:00:b8:db:61
a14-p04	78:e4:00:b8:f4:e2
a14-p05	70:5a:b6:f0:7d:71
a14-p06	70:5a:b6:f2:9c:f6
a14-p07	88:ae:1d:1a:f7:b6
a14-p08	70:5a:b6:f0:a6:95
a14-p09	70:5a:b6:f0:87:0c
a14-p10	88:ae:1d:1b:00:50
a14-p11	70:5a:b6:f0:83:01
a14-p12	78:e4:00:76:86:53
a14-p13	78:e4:00:b9:35:63
a14-p14	88:ae:1d:1a:fd:03
a14-p15	70:5a:b6:f0:a1:76
a14-p16	70:5a:b6:f0:80:a8
a14-p17	70:5a:b6:f0:9b:97
a14-p18	70:5a:b6:f0:7e:31
a14-p19	70:5a:b6:f0:89:09
a14-p20	70:5a:b6:f0:91:52
a14-p21	70:5a:b6:f0:75:66
a14-p22	70:5a:b6:f0:81:e8
a14-p23	70:5a:b6:f0:7d:a7
a15-o01	00:01:80:36:81:F5
a15-o02	00:01:80:38:3E:AA
a15-o03	00:01:80:38:41:61
a15-o04	00:01:80:38:88:AF
a15-o05	00:01:80:38:41:8E
a15-o06	00:01:80:36:82:21
a15-o07	00:01:80:38:41:D2
a15-o08	00:01:80:38:3E:8E
a15-o09	00:01:80:38:3e:6f
a15-o10	00:01:80:36:82:23
a15-o11	00:01:80:38:89:D5
a15-o12	00:01:80:38:42:2C
a15-o13	00:01:80:38:88:CD
a15-o14	00:01:80:38:88:42
a16-o01	00:01:80:38:8A:0D
a16-o02	00:01:80:38:3F:06
a16-o03	00:01:80:38:89:E8
a16-o04	00:01:80:36:7F:84
a16-o05	00:01:80:38:89:C4
a16-o06	00:01:80:38:88:8F
a16-o07	00:01:80:38:41:8A
a16-o08	00:01:80:38:89:C8
a16-o09	00:01:80:38:41:85
a16-o10	00:01:80:38:89:C9
a16-o11	00:01:80:38:41:af
a16-o12	00:01:80:38:41:D5
a16-o13	00:01:80:38:87:e5
a16-o15	00:01:80:38:88:44
a17-o01	00:01:80:38:3E:5A
a17-o02	00:01:80:38:3E:8D
a17-o03	00:01:80:38:88:EC
a17-o05	00:01:80:38:40:C3
a17-o06	00:01:80:38:89:DD
a17-o07	00:01:80:38:3E:C1
a17-o08	00:01:80:38:3E:9F
a17-o09	00:01:80:38:88:c3
a17-o10	00:01:80:38:89:D9
a17-o11	00:01:80:38:3E:FF
a17-o12	00:01:80:36:7F:13
a17-o13	00:01:80:38:89:D0
a18-o01	00:01:80:36:7F:31
a18-o02	00:01:80:38:41:0A
a18-o03	00:01:80:38:3E:7E
a18-o04	00:01:80:38:41:05
a18-o05	00:01:80:38:88:3c
a18-o06	00:01:80:38:3E:7B
a18-o07	00:01:80:38:88:B7
a18-o08	00:01:80:38:41:9A
a18-o09	00:01:80:38:41:08
a18-o10	00:01:80:36:7F:7F
a18-o11	00:01:80:38:41:87
a18-o12	00:01:80:38:3F:23
a18-o13	00:01:80:36:80:44
a19-o01	00:01:80:38:57:3a
a19-o02	00:01:80:38:41:D7
a19-o03	00:01:80:38:88:36
a19-o04	00:01:80:38:41:3A
a19-o05	00:01:80:38:88:68
a19-o06	00:01:80:36:7f:6e
a19-o07	00:01:80:38:3F:32
a19-o08	00:01:80:38:8A:28
a19-o09	00:01:80:38:41:A0
a19-o10	00:01:80:38:41:d9
a19-o11	00:01:80:38:89:e1
a19-o12	00:01:80:36:7F:3D
a20-o01	00:01:80:38:41:4D
a20-o02	00:01:80:38:88:C5
a20-o03	00:01:80:36:7F:C6
a20-o04	00:01:80:36:82:13
a20-o05	00:01:80:36:88:ef
a20-o06	00:01:80:38:42:05
a20-o07	00:01:80:38:41:B6
a20-o08	00:01:80:38:88:BC
a20-o09	00:01:80:38:3F:01
a20-o10	00:01:80:38:88:DD
a20-o11	00:01:80:38:88:8A
a20-o12	00:01:80:38:87:EC
a21-p01	70:5a:b6:f0:90:23
a21-p02	70:5a:b6:f0:a5:d8
a21-p03	70:5a:b6:f0:a3:87
a21-p04	88:ae:1d:1a:fc:93
a21-p05	70:5a:b6:f0:75:00
a21-p06	70:5a:b6:f0:87:89
a21-p07	70:5a:b6:f0:88:f9
a21-p08	70:5a:b6:f0:58:1a
a21-p10	70:5a:b6:f0:7b:13
a21-p11	70:5a:b6:f0:93:3b
a22-p01	80:fa:5b:01:96:3e
a22-p02	80:fa:5b:01:91:e8
a22-p03	80:fa:5b:01:92:02
a22-p04	80:fa:5b:01:91:c1
a22-p05	80:fa:5b:01:93:c2
a22-p06	80:fa:5b:01:92:2a
a22-p07	80:fa:5b:01:90:b0
a22-p08	80:fa:5b:01:91:60
a22-p09	80:fa:5b:01:94:3b
a22-p10	80:fa:5b:01:92:2f
a22-p11	80:fa:5b:01:90:c0
a22-p12	28:e3:47:7d:f0:0e
a22-p13	28:e3:47:8a:19:3e
a22-p14	80:fa:5b:01:91:c2
a22-p15	80:fa:5b:01:95:02
a22-p16	80:fa:5b:01:91:9f
a22-p17	80:fa:5b:01:92:18
a22-p18	80:fa:5b:01:92:31
a22-p19	80:fa:5b:01:90:6a
a22-p20	80:fa:5b:01:92:a6
a22-p21	80:fa:5b:01:90:e1
a22-p22	80:fa:5b:01:93:45
a22-p23	80:fa:5b:01:94:0c
a22-p24	80:fa:5b:01:92:d2
a23-p01	80:fa:5b:01:95:4e
a23-p02	80:fa:5b:01:94:e1
a23-p03	80:fa:5b:01:96:72
a23-p04	80:fa:5b:01:96:ab
a23-p05	80:fa:5b:01:91:87
a23-p06	80:fa:5b:01:95:92
a23-p07	80:fa:5b:01:94:9c
a23-p08	80:fa:5b:01:91:bc
a23-p09	80:fa:5b:01:91:b2
a23-p10	80:fa:5b:01:96:86
a23-p11	80:fa:5b:01:94:f9
a23-p12	80:fa:5b:01:95:95
a23-p13	80:fa:5b:01:93:4b
a23-p14	80:fa:5b:01:96:3d
a23-p15	80:fa:5b:01:93:75
a23-p16	80:fa:5b:01:91:43
a23-p17	80:fa:5b:01:95:de
a23-p18	80:fa:5b:01:93:ea
a23-p19	80:fa:5b:01:92:13
a23-p20	80:fa:5b:01:91:57
a23-p21	80:fa:5b:01:93:33
a23-p22	80:fa:5b:01:91:cb
a23-p23	80:fa:5b:01:90:28
a23-p24	80:fa:5b:01:91:07
a24-p01	80:fa:5b:01:90:a5
a24-p02	80:fa:5b:01:92:0b
